,Unnamed: 0,id,app,reviewText,date,ratingStars
1221517,1984244,d0ba762a-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Awesome  helpful and easy to navigate travel website!!,February 08 2017,5
1221518,1984245,d0f3d5ab-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Poor management,February 08 2017,1
1221519,1984246,d12bfcac-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,We booked a house. Paid 640.00 for the weekend. Two days before we were check in airbnb cancels our reservations. The host told me it happens all the time. I still have not gotten a refund and don't have a place to stay. Beware of airbnb!,February 08 2017,1
1221520,1984247,d167cd2d-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Terrible. Needs to be overhauled.,February 08 2017,1
1221521,1984248,d277686e-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,I cannot change my dates on booked reservation. I can change # of guests but not dates. Very frustrating.,February 08 2017,3
1221522,1984249,d2aef32f-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,I have been trying for more than 30mins to change a booking as hostess cancelled. This app is taking me in circles. I press cancel  it takes me to talk to airb&b back to cancel back to airb&b. Most frustrating,February 08 2017,1
1221523,1984250,d2e7b670-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,While sometimes a little slow  and the oversimplified design a little awkward to manage and browse  it's still a good way to keep in contact with hosts who double cancel on you at the last minute. The app is fine  the hosts could use some more polish.,February 08 2017,4
1221524,1984251,d3242331-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,A great app to get bargains on good accommodation in great location.,February 08 2017,5
1221525,1984252,d420d2b2-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Tengo que mandarles la foto completa de mi documento para que se la muestren a cualquiera ahora? Encima te avisa después de hacer toda la búsqueda. Una perdida de tiempo.,February 08 2017,1
1221526,1984253,d45e77f3-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,The app has a page where you have to either accept or decline to treat people fairly. Only problem is that the accept button doesn't work. If you don't accept your account is cancelled. Fix the button and my rating will improve.,February 08 2017,2
1221527,1984254,d49cb974-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Completely useless app. Total waste of space. Keeps bugging out and so not user friendly,February 08 2017,1
1221528,1984256,d5d400f6-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Stayed at a roach infested listing and was refused a refund,February 08 2017,1
1221529,1984257,d60b8bb7-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Everything is good but as a host sometimes it.shows a error when try to login in . Need to unintelligible and again install. It happened many times,February 08 2017,1
1221530,1984258,d64fe7b8-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,I am not able to list my room,February 08 2017,1
1221531,1984259,d6877279-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Its perfect  logistical an we as members   hosts hopefully feel eye appealing. Jerry superhost Kihei  Maui USA,February 08 2017,5
1221532,1984260,d78114ba-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,Absolutely awesome app! Great idea! And almost always cheaper than a hotel with much more privacy or interaction with people  whichever way you prefer! Ten stars from me! :),February 08 2017,5
1221533,1984261,d7b9d7fb-ee94-11e6-b7c4-fa163e345ce9,com.airbnb.android,My Commitment Rate as a host has been affected following a cancellation BY a guest. That's unfair!,February 08 2017,2
