,_id,app,appVersion,reviewText,author,date,ratingStars,IS_ERROR,IS_PRIVACY,IS_HARDWARE,IS_DEVICE,IS_PERFORMANCE,IS_BATTERY,IS_PRICE,IS_APP USABILITY,IS_ANDROID VERSION,IS_UI,IS_LICENSING,IS_MEMORY,IS_SECURITY
12,57290d8d507c69054da8de14,A Comic Viewer,1.4.1.4,THE FUNKY ERROR MSG CANT READ MY COMICS BECAUSE OF THIS FUNKY MEMORY ERROR MESSAGE.,Mariana Dias,25/04/16,2,1,0,0,0,0,0,0,0,0,0,0,1,0
13,57290d91507c69054da8de1a,A Comic Viewer,1.4.1.4,Cant open cbr files Hated it,Lawrence Penus,30/03/16,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,57290d91507c69054da8de1c,A Comic Viewer,1.4.1.4,Not for marshmallow Can't access SD card for marshmallow.,Yves Rilloraza,12/03/16,2,1,0,1,0,0,0,0,0,1,0,0,0,0
15,57290d96507c69054da8de24,A Comic Viewer,1.4.1.4,"Generally, I find that this is the best comic reader available. Aside from a few bugs mentioned by others (memory issue, occasional crashes), the only other issue is that the swipe isn't as intuitive as I'd prefer. A little too much effort is required to turn the page, so I don't read for as long as I'd want.",Athena Dykman,24/01/16,4,1,0,0,0,0,0,0,1,0,1,0,1,0
16,57290d98507c69054da8de2a,A Comic Viewer,1.4.1.4,"Buggy, poor performance consistently, even on flagship phones. No excuse for a comic viewer that can't view comics.",Zach Shoemaker,30/11/15,2,1,0,0,0,1,0,0,0,0,1,0,0,0
17,57290da4507c69054da8de3d,A Comic Viewer,1.4.1.4,It just shuts down without any warning! I use Android lollipop and everytime I open up anything it would just close down instantly. If it fix this problem I probably pay for the premium version.,Carl Flynt,13/05/15,1,1,0,0,0,0,0,0,0,1,0,1,0,0
18,57290daa507c69054da8de42,A Comic Viewer,1.4.1.4,OK app but... Would be great if there was a library display that showed the covers.,Jonathan Lambert,31/03/15,3,0,0,0,0,0,0,0,0,0,1,0,0,0
19,57290db1507c69054da8de49,A Comic Viewer,1.4.1.4,Its pretty good but i cant read my .cbr deadpool comic i extracted the file and it still wouldn't let me read it. please either fix this or help me...,zachary amrani,19/03/15,4,1,0,0,0,0,0,0,0,0,0,0,0,0
20,57290db2507c69054da8de4e,A Comic Viewer,1.4.1.4,How do I use this I'm new to all this I need to know step by step,Malik Ford,01/03/15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,57290db8507c69054da8de58,A Comic Viewer,1.4.1.4,Image crash I can open my comic but the picture is crash,Mahdiar Naufal,23/01/15,2,1,0,0,0,0,0,0,0,0,1,0,0,0
22,57290db8507c69054da8de5a,A Comic Viewer,1.4.1.4,Not for manga Unfortunately I cannot set it up for a natural MANGA reading. My finger swipe direction (as in RTL reading) gives opposite visual feedback on the app's page turning. Maybe I will contribute to this open source project or just fork it as my own.,Akhyar Amarullah,15/01/15,2,0,0,0,0,0,0,0,0,0,1,1,0,0
23,57290dba507c69054da8de5b,A Comic Viewer,1.4.1.4,It is good when it works Low memory issues... Don't give me that crap... I have like 2gigs of free RAM ... Fix that and I will give 5,Govardhan KJ,13/01/15,4,1,0,1,0,1,0,1,0,0,0,0,1,0
24,57290dc0507c69054da8de61,A Comic Viewer,1.4.1.4,Can't load pages properly,Ricardo Gladwell,03/01/15,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,57290dc7507c69054da8de65,A Comic Viewer,1.4.1.4,Glitches make comics unreadable I tried to open 2 comics and both had lots of static at the bottom of the comics. I thought it might be the comics but I then opened the comics with perfect viewer and they looked just fine. If this glitch wasn't their it would be good but it just looks terrible and ruins the comic.,TanManager,28/11/14,3,1,0,0,0,0,0,0,0,0,0,0,0,0
26,57290dc7507c69054da8de66,A Comic Viewer,1.4.1.4,"Help me!! For some reason, my comic files work fine on pc, even when viewing from SD i have them on, but in app, they ""glitch"" out, some areas grey, others weird. makes some pages unreadable. Cannot find a website or any way to contact support, 1star til then!",Esenfur,23/11/14,1,1,0,1,0,0,0,0,0,0,0,0,0,0
27,57290dca507c69054da8de69,A Comic Viewer,1.4.1.4,"It reads my files, but... It seems to not allow the pages to rotate when I turn my phone. The particular files I have contain facing pages, not just single pages, so landscape is a better layout which, at least with my note 3, this app doesn't support.",Douglas Dillingham,11/11/14,2,0,0,0,1,0,0,0,0,0,1,0,0,0
28,57290dce507c69054da8de71,A Comic Viewer,1.4.1.4,Couldn't view my comics but other apps worked,Vuong H,12/10/14,2,0,0,0,0,0,0,0,0,0,1,0,0,0
29,57290dcf507c69054da8de73,A Comic Viewer,1.4.1.4,Can't comment Until I use it again,A Google User,01/10/14,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,57290dd2507c69054da8de78,A Comic Viewer,1.4.1.4,"nothing special better than other comic reader app i have come across, reads all comic files but once you start reading theres no option for to go to root menu or open files. Would have been great if there was.",Senpai Knows,24/09/14,3,0,0,0,0,0,0,0,0,0,1,0,0,1
31,57290ddc507c69054da8de85,A Comic Viewer,1.4.1.4,Wont open files Keep tryinh to read comics on it and this DAM MESSAGE KEEPS COMING UP 'Oops can't open file may be due to low memory try closing acv and opening it after a while' I HAVE 2GIGS AND I CLOSED ACV FOR THREE WEEKS AND IT WOULDN'T OPEN FIX THIS ~SAMSUNG Galaxy S2,Jack BLARG,31/08/14,2,1,0,0,1,1,0,0,0,0,0,0,1,0
32,57290de3507c69054da8de8e,A Comic Viewer,1.4.1.4,"Does the job Seems there are complaints around CBR, but those seem to miss the fact that the CBR format requires the entire file to be unpacked in memory. Switching to a more sensible format, e.g. CBZ, does the job fine. All in all it does what I need it to, with few or no issues.",Graham Sutherland,15/08/14,4,1,0,0,0,1,0,0,0,0,0,0,1,0
33,57290de3507c69054da8de90,A Comic Viewer,1.4.1.4,Nasty Tried to view futures end on this reader and it messed up the visuals. There were lines all across it. Downloaded a different one and they showed fine. Don't use this one,TheGamerDad,12/08/14,1,0,0,0,0,0,0,0,0,0,1,0,0,0
